weight,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence
0.52,4.96,4.31,2.92,1,0,0,0,0,0,0,0,3.0,2.0,0.0,0.0,1.0,0.0
0.5,5.0,5.04,3.18,0,0,0,0,0,0,0,1,6.0,2.0,0.0,0.0,0.0,0.0
0.33,4.22,4.8,2.78,0,0,1,0,0,0,0,0,5.0,3.0,0.0,0.0,2.0,0.0
0.75,8.0,5.02,2.92,0,0,0,0,1,0,0,0,7.0,7.0,0.0,0.0,1.0,0.0
0.5,5.05,5.07,3.17,0,0,0,0,0,0,0,1,4.0,9.0,0.0,0.0,0.0,0.0
0.3,4.34,4.35,2.58,0,0,0,0,0,0,0,1,6.0,2.0,0.0,0.0,0.0,3.0
0.53,5.14,5.17,3.22,0,0,0,0,0,0,0,1,4.0,7.0,0.0,0.0,0.0,3.0
0.3,4.61,3.25,2.18,0,1,0,0,0,0,0,0,4.0,1.0,0.0,0.0,1.0,0.0
0.3,4.46,3.28,2.12,0,1,0,0,0,0,0,0,4.0,1.0,0.0,1.0,1.0,0.0
0.5,4.49,4.44,3.16,0,0,0,0,0,0,1,0,6.0,1.0,0.0,0.0,1.0,0.0
0.5,5.05,5.08,3.16,0,0,0,0,0,0,0,1,3.0,7.0,0.0,0.0,0.0,0.0
0.5,4.49,4.44,3.06,0,0,0,0,0,0,1,0,5.0,3.0,0.0,0.0,1.0,0.0
0.5,5.08,5.1,3.18,0,0,0,0,0,0,0,1,7.0,3.0,0.0,0.0,0.0,3.0
0.81,5.73,4.99,3.35,1,0,0,0,0,0,0,0,5.0,2.0,0.0,0.0,1.0,5.0
0.51,4.92,4.35,2.81,1,0,0,0,0,0,0,0,7.0,8.0,1.0,0.0,0.0,0.0
0.9,7.24,5.48,3.37,0,0,0,0,1,0,0,0,7.0,9.0,1.0,0.0,1.0,4.0
