id,shape,weight,clarity,color,cut,polish,symmetry,fluorescence,price,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence,is_outlier
1638114,CUSHION,0.76,VS1,D,EX,EX,VG,F,3051.67,5.48,4.99,3.28,1,0,0,0,0,0,0,0,4.0,1.0,0.0,0.0,1.0,3.0,False
1742847,ROUND,0.5,SI2,F,EX,EX,EX,N,2023.12,5.05,5.08,3.17,0,0,0,0,0,0,0,1,7.0,3.0,0.0,0.0,0.0,0.0,False
1786686,PEAR,0.5,VS2,E,EX,EX,VG,N,2004.41,7.03,4.35,2.72,0,0,0,0,0,1,0,0,5.0,2.0,0.0,0.0,1.0,0.0,False
1786423,CUSHION,0.5,VS1,H,VG,EX,VG,N,1565.95,4.39,4.37,3.02,1,0,0,0,0,0,0,0,4.0,5.0,1.0,0.0,1.0,0.0,False
1741890,EMERALD,0.42,VVS2,G,EX,EX,VG,M,1137.37,5.06,3.71,2.35,0,1,0,0,0,0,0,0,3.0,4.0,0.0,0.0,1.0,4.0,False
201210-1206,CUSHION,1.0,VS1,H,EX,EX,EX,F,4521.0,6.1,5.31,3.6,1,0,0,0,0,0,0,0,4.0,5.0,0.0,0.0,0.0,3.0,False
1797308,HEART,0.3,VVS2,D,GD,VG,FR,N,1093.01,3.83,4.62,2.73,0,0,1,0,0,0,0,0,3.0,1.0,2.0,1.0,3.0,0.0,False
1584392,CUSHION,0.8,VS2,G,EX,EX,EX,N,2896.8,5.25,5.19,3.52,1,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,False
1637775,ROUND,0.51,SI1,I,EX,EX,EX,N,2015.03,5.14,5.17,3.17,0,0,0,0,0,0,0,1,6.0,6.0,0.0,0.0,0.0,0.0,False
1794858,PRINCESS,0.5,VS1,G,VG,EX,VG,N,1867.55,4.25,4.16,3.08,0,0,0,0,0,0,1,0,4.0,4.0,1.0,0.0,1.0,0.0,False
1789047,EMERALD,0.3,VVS1,F,EX,VG,GD,N,1030.06,4.75,3.09,2.1,0,1,0,0,0,0,0,0,2.0,3.0,0.0,1.0,2.0,0.0,False
1767913,HEART,0.46,SI1,H,VG,VG,VG,N,1133.31,4.57,5.41,3.25,0,0,1,0,0,0,0,0,6.0,5.0,1.0,1.0,1.0,0.0,False
1781746,PRINCESS,0.31,VS2,E,EX,VG,VG,N,942.67,3.82,3.76,2.71,0,0,0,0,0,0,1,0,5.0,2.0,0.0,1.0,1.0,0.0,False
203211-503,CUSHION,0.96,SI2,E,EX,EX,VG,N,3510.08,5.65,5.45,3.68,1,0,0,0,0,0,0,0,7.0,2.0,0.0,0.0,1.0,0.0,False
1652701,CUSHION,0.53,VS1,I,EX,EX,VG,N,1365.72,4.71,4.51,3.04,1,0,0,0,0,0,0,0,4.0,6.0,0.0,0.0,1.0,0.0,False
1671477,CUSHION,0.7,SI1,D,EX,EX,VG,F,2600.76,5.28,4.83,3.24,1,0,0,0,0,0,0,0,6.0,1.0,0.0,0.0,1.0,3.0,False
1616433,CUSHION,0.7,VS2,L,VG,EX,VG,F,1191.85,5.41,4.71,3.14,1,0,0,0,0,0,0,0,5.0,9.0,1.0,0.0,1.0,3.0,False
1773490,EMERALD,0.3,VVS1,D,EX,EX,VG,N,1155.32,4.65,3.24,2.12,0,1,0,0,0,0,0,0,2.0,1.0,0.0,0.0,1.0,0.0,False
1800172,OVAL,0.55,SI1,G,EX,EX,VG,N,1658.89,6.48,4.5,2.83,0,0,0,0,1,0,0,0,6.0,4.0,0.0,0.0,1.0,0.0,False
1662739,ROUND,0.5,VS2,H,EX,EX,VG,F,2304.07,5.12,5.18,3.08,0,0,0,0,0,0,0,1,5.0,5.0,0.0,0.0,1.0,3.0,False
1791016,EMERALD,0.4,VVS2,H,VG,EX,VG,F,1183.0,5.01,3.53,2.42,0,1,0,0,0,0,0,0,3.0,5.0,1.0,0.0,1.0,3.0,False
1797169,EMERALD,0.5,VS2,J,GD,VG,GD,F,1173.79,5.02,3.75,2.7,0,1,0,0,0,0,0,0,5.0,7.0,2.0,1.0,2.0,3.0,False
1794613,OVAL,0.5,VVS2,F,EX,EX,VG,N,2044.29,6.02,4.48,2.8,0,0,0,0,1,0,0,0,3.0,3.0,0.0,0.0,1.0,0.0,False
200656-901,CUSHION,1.2,SI2,D,EX,EX,VG,N,4858.12,6.29,5.77,3.91,1,0,0,0,0,0,0,0,7.0,1.0,0.0,0.0,1.0,0.0,False
1630161,OVAL,0.55,VVS2,FANCY,EX,VG,GD,N,1672.38,5.9,4.26,2.76,0,0,0,0,1,0,0,0,3.0,0.0,0.0,1.0,2.0,0.0,False
1796068,PEAR,0.73,VS1,G,EX,EX,VG,N,4395.96,8.16,4.89,3.04,0,0,0,0,0,1,0,0,4.0,4.0,0.0,0.0,1.0,0.0,False
1749454,ROUND,0.59,VVS1,K,EX,EX,EX,N,1473.73,5.34,5.38,3.35,0,0,0,0,0,0,0,1,2.0,8.0,0.0,0.0,0.0,0.0,False
1786275,ROUND,0.51,SI2,G,EX,EX,VG,N,2082.57,5.1,5.13,3.18,0,0,0,0,0,0,0,1,7.0,4.0,0.0,0.0,1.0,0.0,False
1777321,CUSHION,0.8,SI2,F,EX,EX,VG,N,2178.43,5.32,5.11,3.44,1,0,0,0,0,0,0,0,7.0,3.0,0.0,0.0,1.0,0.0,False
1785651,PRINCESS,0.51,VVS2,D,EX,EX,VG,M,1950.7,4.45,4.43,3.1,0,0,0,0,0,0,1,0,3.0,1.0,0.0,0.0,1.0,4.0,False
1783144,PRINCESS,0.5,SI1,I,EX,EX,GD,F,1423.0,4.29,4.27,3.1,0,0,0,0,0,0,1,0,6.0,6.0,0.0,0.0,2.0,3.0,False
1794308,EMERALD,0.41,VVS1,E,VG,EX,VG,ST,1273.42,5.61,3.53,2.02,0,1,0,0,0,0,0,0,2.0,2.0,1.0,0.0,1.0,5.0,False
1788092,OVAL,0.4,SI1,D,EX,EX,GD,N,1183.0,6.22,4.09,2.55,0,0,0,0,1,0,0,0,6.0,1.0,0.0,0.0,2.0,0.0,False
1790021,PEAR,0.3,SI1,E,VG,EX,GD,N,899.27,5.8,3.68,2.34,0,0,0,0,0,1,0,0,6.0,2.0,1.0,0.0,2.0,0.0,False
1799588,CUSHION,0.7,VVS2,E,VG,EX,VG,N,3486.08,4.94,4.85,3.38,1,0,0,0,0,0,0,0,3.0,2.0,1.0,0.0,1.0,0.0,False
1656359,CUSHION,0.8,VVS1,J,EX,EX,VG,N,2361.12,5.68,5.0,3.39,1,0,0,0,0,0,0,0,2.0,7.0,0.0,0.0,1.0,0.0,False
1785096,EMERALD,0.3,VS1,D,EX,VG,VG,N,1058.95,4.88,3.18,2.03,0,1,0,0,0,0,0,0,4.0,1.0,0.0,1.0,1.0,0.0,False
1648890,EMERALD,0.51,VVS2,H,EX,EX,VG,N,1658.8,5.19,3.81,2.6,0,1,0,0,0,0,0,0,3.0,5.0,0.0,0.0,1.0,0.0,False
1647575,ROUND,0.5,SI1,D,VG,EX,GD,N,2109.52,5.06,5.09,3.16,0,0,0,0,0,0,0,1,6.0,1.0,1.0,0.0,2.0,0.0,False
1774210,EMERALD,0.4,VVS2,H,EX,VG,GD,N,1185.7,5.26,3.51,2.31,0,1,0,0,0,0,0,0,3.0,5.0,0.0,1.0,2.0,0.0,False
1631693,ROUND,0.5,I1,H,VG,VG,VG,N,1399.75,4.98,5.05,3.2,0,0,0,0,0,0,0,1,8.0,5.0,1.0,1.0,1.0,0.0,False
1771756,PRINCESS,0.4,VS2,F,EX,VG,VG,N,1347.34,4.06,4.02,2.86,0,0,0,0,0,0,1,0,5.0,3.0,0.0,1.0,1.0,0.0,False
1649128,OVAL,0.5,VS2,F,EX,VG,GD,N,1748.16,6.55,4.32,2.69,0,0,0,0,1,0,0,0,5.0,3.0,0.0,1.0,2.0,0.0,False
1800988,PRINCESS,0.3,VVS2,E,EX,GD,GD,M,924.6,3.8,3.74,2.52,0,0,0,0,0,0,1,0,3.0,2.0,0.0,2.0,2.0,4.0,False
1790053,CUSHION,0.86,VVS1,FANCY,EX,EX,VG,F,3131.43,5.13,5.1,3.55,1,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,1.0,3.0,False
1769636,HEART,0.3,VS1,F,EX,EX,VG,N,1124.39,4.01,4.61,2.74,0,0,1,0,0,0,0,0,4.0,3.0,0.0,0.0,1.0,0.0,False
1782992,OVAL,0.5,SI1,F,EX,EX,GD,N,1624.24,6.24,4.65,2.73,0,0,0,0,1,0,0,0,6.0,3.0,0.0,0.0,2.0,0.0,False
1794364,EMERALD,0.32,VVS1,E,EX,EX,VG,N,1166.56,4.67,3.19,2.18,0,1,0,0,0,0,0,0,2.0,2.0,0.0,0.0,1.0,0.0,False
1669831,PRINCESS,0.53,VS1,H,EX,VG,VG,N,1789.27,4.4,4.32,3.14,0,0,0,0,0,0,1,0,4.0,5.0,0.0,1.0,1.0,0.0,False
1703569,EMERALD,0.5,VS2,J,VG,EX,VG,N,1208.47,5.08,3.76,2.6,0,1,0,0,0,0,0,0,5.0,7.0,1.0,0.0,1.0,0.0,False
1665784,CUSHION,0.7,VVS2,K,VG,EX,VG,F,1562.27,5.05,4.86,3.39,1,0,0,0,0,0,0,0,3.0,8.0,1.0,0.0,1.0,3.0,False
1801976,ROUND,0.34,VS1,E,EX,EX,EX,N,1366.08,4.44,4.45,2.78,0,0,0,0,0,0,0,1,4.0,2.0,0.0,0.0,0.0,0.0,False
1618583,ROUND,0.25,VVS2,F,EX,EX,EX,N,1082.01,4.01,4.04,2.49,0,0,0,0,0,0,0,1,3.0,3.0,0.0,0.0,0.0,0.0,False
1784304,ROUND,0.61,VVS2,J,EX,EX,EX,M,2104.08,5.43,5.46,3.42,0,0,0,0,0,0,0,1,3.0,7.0,0.0,0.0,0.0,4.0,False
1796311,ROUND,0.71,VVS2,M,EX,VG,EX,N,2046.73,5.68,5.72,3.57,0,0,0,0,0,0,0,1,3.0,10.0,0.0,1.0,0.0,0.0,False
1656852,ROUND,0.8,SI2,J,EX,EX,VG,F,2103.9,5.85,5.89,3.72,0,0,0,0,0,0,0,1,7.0,7.0,0.0,0.0,1.0,3.0,False
1771333,HEART,0.3,VS1,G,VG,EX,GD,N,1020.96,3.96,4.63,2.76,0,0,1,0,0,0,0,0,4.0,4.0,1.0,0.0,2.0,0.0,False
1732848,CUSHION,0.81,SI1,E,EX,EX,VG,N,2626.83,5.89,4.99,3.35,1,0,0,0,0,0,0,0,6.0,2.0,0.0,0.0,1.0,0.0,False
1771319,HEART,0.31,VVS2,G,VG,EX,VG,N,1058.38,4.13,4.76,2.73,0,0,1,0,0,0,0,0,3.0,4.0,1.0,0.0,1.0,0.0,False
1773167,ROUND,0.4,VS2,I,VG,EX,EX,N,1329.02,4.73,4.74,2.9,0,0,0,0,0,0,0,1,5.0,6.0,1.0,0.0,0.0,0.0,False
1665088,ROUND,0.8,SI1,N,EX,EX,EX,F,2098.47,5.9,5.92,3.7,0,0,0,0,0,0,0,1,6.0,11.0,0.0,0.0,0.0,3.0,False
1751206,ROUND,0.5,SI1,E,EX,EX,EX,N,2453.1,5.0,5.04,3.18,0,0,0,0,0,0,0,1,6.0,2.0,0.0,0.0,0.0,0.0,False
1781723,PRINCESS,0.59,SI2,F,VG,EX,GD,N,1446.78,4.59,4.52,3.36,0,0,0,0,0,0,1,0,7.0,3.0,1.0,0.0,2.0,0.0,False
