id,shape,weight,clarity,color,cut,polish,symmetry,fluorescence,price,length,width,depth,shape_CUSHION,shape_EMERALD,shape_HEART,shape_MARQUISE,shape_OVAL,shape_PEAR,shape_PRINCESS,shape_ROUND,encoded_clarity,encoded_color,encoded_cut,encoded_polish,encoded_symmetry,encoded_fluorescence
1764130,PRINCESS,0.4,SI1,F,EX,EX,GD,N,1160.79,4.13,4.08,2.88,0,0,0,0,0,0,1,0,6.0,3.0,0.0,0.0,2.0,0.0
1765889,PRINCESS,0.51,VS1,K,EX,VG,VG,F,1162.84,4.39,4.38,3.13,0,0,0,0,0,0,1,0,4.0,8.0,0.0,1.0,1.0,3.0
1800369,PRINCESS,0.31,VVS1,D,EX,EX,VG,N,1164.21,3.84,3.8,2.69,0,0,0,0,0,0,1,0,2.0,1.0,0.0,0.0,1.0,0.0
1796226,PRINCESS,0.47,SI2,G,EX,EX,VG,N,1167.35,4.36,4.31,3.13,0,0,0,0,0,0,1,0,7.0,4.0,0.0,0.0,1.0,0.0
1785734,PRINCESS,0.4,VS2,H,VG,VG,GD,N,1168.23,4.09,4.01,2.93,0,0,0,0,0,0,1,0,5.0,5.0,1.0,1.0,2.0,0.0
1785748,PRINCESS,0.32,VS1,E,EX,EX,GD,N,960.48,3.84,3.77,2.61,0,0,0,0,0,0,1,0,4.0,2.0,0.0,0.0,2.0,0.0
1789306,PRINCESS,0.3,VS1,F,EX,EX,VG,N,960.66,3.69,3.68,2.64,0,0,0,0,0,0,1,0,4.0,3.0,0.0,0.0,1.0,0.0
1788248,PRINCESS,0.3,VVS2,E,EX,VG,GD,N,961.61,3.94,3.77,2.58,0,0,0,0,0,0,1,0,3.0,2.0,0.0,1.0,2.0,0.0
1781743,PRINCESS,0.35,VS1,G,VG,VG,GD,N,963.25,3.77,3.73,2.72,0,0,0,0,0,0,1,0,4.0,4.0,1.0,1.0,2.0,0.0
1780018,PRINCESS,0.35,VS2,E,VG,EX,GD,F,963.82,3.97,3.91,2.84,0,0,0,0,0,0,1,0,5.0,2.0,1.0,0.0,2.0,3.0
1786753,PRINCESS,0.32,VS1,G,EX,EX,VG,N,965.38,3.83,3.76,2.52,0,0,0,0,0,0,1,0,4.0,4.0,0.0,0.0,1.0,0.0
1646351,PRINCESS,0.5,VS2,L,VG,EX,GD,N,965.65,4.25,4.16,3.09,0,0,0,0,0,0,1,0,5.0,9.0,1.0,0.0,2.0,0.0
